country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB","01-02-2024 11:00:00",27.215415,77.50873,PM2.5,20,119,85
India,Rajasthan,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB","01-02-2024 11:00:00",27.215415,77.50873,OZONE,26,88,48
India,Rajasthan,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB","01-02-2024 11:00:00",25.339605,74.618883,PM2.5,30,217,90
India,Rajasthan,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB","01-02-2024 11:00:00",25.339605,74.618883,NO2,15,94,37
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB","01-02-2024 11:00:00",28.194909,76.862296,SO2,3,18,12
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB","01-02-2024 11:00:00",28.194909,76.862296,CO,2,109,79
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB","01-02-2024 11:00:00",25.435774,75.644272,NH3,4,6,5
India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB","01-02-2024 11:00:00",24.892047,74.623527,PM2.5,18,206,101
India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB","01-02-2024 11:00:00",24.892047,74.623527,NH3,2,8,4
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB","01-02-2024 11:00:00",28.296139,74.961696,NH3,12,19,16
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB","01-02-2024 11:00:00",26.699557,77.898881,PM10,131,191,163
India,Rajasthan,Dungarpur,"Bhoiwada, Dungarpur - RSPCB","01-02-2024 11:00:00",23.837789,73.714926,SO2,3,17,6
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB","01-02-2024 11:00:00",29.610750,74.283608,NH3,13,20,17
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB","01-02-2024 11:00:00",29.610750,74.283608,SO2,6,13,9
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","01-02-2024 11:00:00",26.902909,75.836858,PM2.5,67,312,201
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB","01-02-2024 11:00:00",26.843698,75.766894,NH3,9,26,17
